,credit_score,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
8042,606,Male,37,6,82373.94,1,0,0,172526.9,1
7211,639,Female,37,4,116121.84,2,0,1,181850.74,0
3076,678,Female,43,2,153393.18,2,1,1,193828.27,0
8314,643,Male,33,4,0.0,2,1,1,152992.04,0
4101,673,Female,57,4,0.0,2,1,1,49684.09,0
5114,678,Male,60,8,185648.56,1,0,0,192156.54,1
2722,544,Female,32,9,110728.39,1,1,1,14559.62,0
9359,645,Male,43,9,140121.17,1,1,0,11302.7,1
1268,658,Female,44,6,148481.09,1,1,0,130529.13,0
2462,672,Female,53,9,169406.33,4,1,1,147311.47,1
5464,556,Female,36,2,134208.22,1,0,1,177670.57,0
268,549,Female,39,7,0.0,1,0,0,81259.25,1
3580,639,Female,41,5,98635.77,1,1,0,199970.74,0
5349,684,Male,32,3,102630.13,2,1,1,127433.47,0
7290,536,Male,39,4,0.0,2,1,0,27150.35,0
5157,699,Female,50,0,158633.61,1,1,0,193785.87,0
6601,591,Female,51,8,132508.3,1,1,1,161304.68,1
2821,714,Female,33,10,103121.33,2,1,1,49672.01,0
5807,679,Female,33,9,112528.65,2,1,0,177362.45,0
589,519,Female,47,6,157296.02,2,0,0,147278.43,1
5955,748,Female,39,9,132865.56,1,1,1,59636.43,1
5254,463,Male,20,8,204223.03,1,1,0,128268.39,0
6661,820,Male,36,4,0.0,2,1,0,31422.69,0
7656,492,Male,51,8,117808.74,2,1,1,67311.12,0
8725,633,Male,27,3,0.0,2,1,0,44008.91,0
6896,596,Male,42,7,0.0,2,1,1,121568.37,0
7594,502,Male,33,8,0.0,2,1,1,123509.01,0
2028,458,Female,39,9,0.0,2,1,0,116343.09,0
6818,698,Male,41,3,90605.29,1,1,1,14357.0,0
677,739,Male,45,7,102703.62,1,0,1,147802.94,1
5763,724,Female,32,6,0.0,2,1,1,150026.79,0
1232,587,Male,46,9,107850.82,1,1,0,139431.0,1
5296,619,Female,44,6,52831.13,1,1,1,112649.22,1
7103,552,Female,42,8,103362.14,1,0,1,186869.58,1
5034,631,Female,29,2,96863.52,2,1,1,31613.35,0
5452,558,Female,45,1,153697.53,2,0,0,89891.4,1
2432,537,Male,39,3,135309.36,1,1,0,31728.86,1
6319,642,Female,19,3,113905.48,1,1,1,176137.2,0
6119,490,Male,33,1,0.0,2,1,1,80792.83,0
9158,540,Female,31,10,118158.74,1,1,1,158027.57,0
9953,550,Male,47,2,0.0,2,1,1,97057.28,0
896,718,Male,35,8,0.0,2,1,0,94820.85,0
1611,760,Female,49,9,91502.99,1,1,0,117232.9,1
6474,695,Male,37,2,0.0,2,1,1,99692.65,0
7661,612,Male,44,2,115163.38,1,1,1,97677.52,1
7460,647,Male,30,6,143138.91,2,1,0,2955.46,0
3806,594,Female,38,10,0.0,2,1,0,58332.91,0
8273,675,Male,32,1,0.0,3,1,0,85901.09,0
9451,524,Male,29,3,159035.45,1,1,0,2705.31,1
4701,652,Male,27,10,107303.72,2,0,0,44435.76,0
3961,702,Female,29,10,88378.6,1,1,0,88550.28,0
5417,588,Male,32,1,0.0,2,1,1,8763.87,0
890,788,Male,37,8,141541.25,1,0,0,66013.27,0
4999,584,Female,38,3,0.0,2,1,1,4525.4,0
7506,674,Female,44,4,131593.85,1,0,1,171345.02,1
7881,774,Male,46,9,0.0,2,1,1,34774.26,0
5095,705,Female,46,5,89364.91,1,0,1,139162.15,0
6932,647,Female,42,9,0.0,2,1,1,51362.82,0
9617,591,Female,35,2,90194.34,2,1,0,57064.57,0
2799,760,Male,43,8,121911.59,1,1,0,193312.33,0
584,647,Female,51,1,119741.77,2,0,0,54954.51,1
3268,690,Male,54,5,0.0,1,1,0,12847.61,1
3932,680,Male,23,5,140007.19,1,0,1,31714.08,0
1260,704,Male,27,5,147004.34,1,1,0,64381.33,1
6205,497,Female,29,4,85646.81,1,0,0,63233.02,1
310,652,Female,80,4,0.0,2,1,1,188603.07,0
7789,606,Male,38,3,99897.53,1,0,0,37054.65,0
6458,589,Male,36,1,100895.54,1,1,1,68075.14,0
6206,802,Male,51,7,0.0,1,0,1,40855.79,0
5882,732,Male,55,9,136576.02,1,0,1,3268.17,1
4668,445,Male,31,7,145056.59,1,1,1,175893.53,0
4298,602,Male,38,7,111835.94,2,1,0,124389.61,0
3783,647,Female,26,8,109958.15,1,1,1,136592.24,1
1008,444,Male,45,6,0.0,1,1,0,130009.85,1
8354,556,Female,31,1,128663.81,2,1,0,125083.29,0
2185,739,Male,40,1,109681.61,1,1,1,193321.3,0
3623,695,Male,27,6,125552.96,1,1,0,105291.26,0
7039,523,Male,60,1,163894.35,1,0,1,57061.71,0
4922,702,Male,26,5,56738.47,2,1,1,100442.22,1
9673,643,Male,62,9,0.0,2,0,0,155870.82,0
7950,516,Female,33,10,138847.9,1,1,1,127256.7,0
6125,501,Female,34,7,93244.42,1,0,1,199805.63,0
4756,785,Female,39,1,130147.98,1,1,0,163798.41,1
5074,598,Male,38,0,125487.89,1,0,0,158111.71,0
90,647,Female,44,5,0.0,3,1,1,174205.22,1
5974,773,Male,45,8,96877.21,1,1,1,113950.51,0
6418,754,Female,27,8,0.0,2,0,0,121821.16,0
8640,730,Female,32,9,127661.69,1,0,0,60905.51,0
8690,762,Female,43,5,134204.67,1,1,1,139971.01,0
2117,683,Male,31,2,0.0,2,0,1,77326.78,0
2937,718,Male,28,6,0.0,2,1,0,146875.86,0
6842,614,Male,36,1,118311.76,1,1,0,146134.68,0
983,614,Female,35,6,128100.28,1,0,0,69454.24,1
7260,773,Female,41,7,190238.93,1,1,1,57549.65,0
9985,659,Male,36,6,123841.49,2,1,0,96833.0,0
2925,717,Female,76,9,138489.66,1,1,1,68400.14,0
6061,544,Male,47,5,105245.21,1,0,0,99922.08,1
3214,572,Male,33,9,68193.72,1,1,0,19998.31,0
6447,619,Female,31,3,141751.82,1,0,1,61531.86,0
6779,535,Male,38,2,119272.29,1,0,0,195896.59,1
7038,630,Male,31,0,0.0,2,1,1,34475.14,0
5663,850,Female,38,2,0.0,2,1,0,9015.07,0
627,752,Male,49,2,78653.84,1,1,0,7698.6,0
8008,591,Female,44,10,113581.98,1,1,0,1985.41,0
5125,542,Male,54,8,105770.14,1,0,1,140929.98,1
4765,630,Female,49,1,0.0,2,0,1,162858.29,0
8143,676,Male,23,1,107787.47,1,0,1,116378.82,0
9594,785,Male,55,5,0.0,2,1,1,7008.65,0
1269,554,Female,38,4,137654.05,2,1,1,172629.67,0
128,828,Female,41,7,0.0,2,1,0,171378.77,0
6112,462,Male,34,1,94682.56,2,1,0,138478.2,0
1711,850,Male,30,5,123210.56,2,1,1,102180.27,0
7862,644,Male,35,5,161591.11,3,1,1,63795.62,0
4235,595,Male,29,6,150685.79,1,1,0,87771.06,0
5192,663,Female,39,8,0.0,2,1,1,101168.9,0
2398,706,Female,42,8,95386.82,1,1,1,75732.25,0
5434,733,Female,32,5,0.0,2,1,0,131625.14,0
6057,742,Male,31,4,105239.1,1,1,1,19700.24,0
9318,668,Female,69,9,0.0,1,0,1,134483.07,0
1186,670,Female,35,3,103465.02,2,1,1,174627.06,0
6013,548,Male,37,4,0.0,1,1,0,121763.68,0
9793,772,Female,42,0,101979.16,1,1,0,90928.48,0
6014,535,Male,48,9,109472.47,1,1,0,157358.43,1
1977,717,Male,35,1,0.0,3,0,0,174770.14,1
9887,684,Male,24,8,143582.89,1,1,1,22527.27,0
4247,637,Female,54,5,0.0,1,0,1,150836.98,0
7672,555,Male,30,1,0.0,2,0,0,88146.86,0
915,596,Male,47,6,0.0,1,1,0,74835.65,0
1305,811,Male,52,10,76915.4,1,0,0,146359.81,1
5455,805,Female,45,9,116585.97,1,1,0,189428.75,1
3049,615,Male,32,4,0.0,2,1,1,6225.63,0
9521,540,Female,40,8,0.0,2,1,0,3560.0,0
1273,474,Male,33,5,0.0,2,1,0,181945.52,1
8055,657,Male,41,8,109402.13,1,1,1,66463.62,0
2796,697,Female,39,6,151553.19,1,1,1,44946.29,0
1398,693,Female,38,3,0.0,2,0,0,78133.48,1
3358,705,Female,33,5,116765.7,1,0,0,190659.17,1
183,636,Male,42,2,0.0,2,1,1,55470.78,0
6867,656,Female,32,1,104254.27,1,1,1,17034.37,0
5695,787,Male,46,7,117685.31,2,1,1,93360.35,0
8835,716,Male,34,9,0.0,1,1,1,66695.71,0
9626,813,Male,27,1,137275.36,1,0,1,115733.16,0
6170,709,Female,32,2,87814.89,1,1,0,138578.37,0
6987,532,Male,60,5,76705.87,2,0,1,13889.73,0
4567,554,Female,27,4,0.0,2,1,1,135083.73,0
8955,518,Male,50,4,0.0,1,0,0,107112.25,1
2656,779,Female,34,5,0.0,2,0,1,111676.63,0
8309,749,Female,27,9,0.0,2,1,0,132734.87,0
6857,546,Female,52,1,106074.89,1,1,1,23548.45,1
1961,705,Female,24,5,177799.83,2,0,0,79886.06,0
6383,594,Male,36,6,153880.15,1,0,0,135431.72,0
8853,681,Male,43,3,66338.68,1,1,1,18772.5,1
9973,611,Male,27,7,0.0,2,1,1,157474.1,0
1251,588,Female,40,10,125534.51,1,1,0,121504.18,1
3176,722,Male,29,1,107233.85,2,1,0,24924.92,0
7760,764,Male,34,6,108760.27,2,1,0,166324.79,1
5013,672,Female,40,3,0.0,1,1,0,113171.61,1
9705,733,Male,36,1,0.0,2,0,1,108377.82,0
6539,697,Female,45,1,0.0,2,1,0,46807.62,1
3289,773,Female,23,8,0.0,2,1,0,56759.79,0
6448,680,Female,37,6,124140.57,2,1,0,92826.35,0
8726,697,Male,43,8,103409.16,1,1,0,66893.28,1
7611,751,Male,38,7,0.0,2,0,0,90839.61,0
6275,642,Female,33,9,0.0,2,1,1,150475.14,0
6887,850,Male,19,8,0.0,1,1,1,68569.89,0
1051,625,Female,49,2,80816.45,1,1,1,20018.79,0
4069,646,Female,34,3,131283.11,1,0,0,130500.65,0
6022,694,Female,35,7,0.0,1,1,0,133570.43,1
5552,627,Male,41,3,0.0,2,1,0,132719.8,0
272,811,Female,34,1,149297.19,2,1,1,186339.74,0
2042,667,Female,27,3,106116.5,2,1,0,3674.71,0
4763,752,Male,38,0,145974.79,2,1,1,137694.23,0
8997,710,Female,33,2,0.0,2,1,0,72945.32,0
5204,430,Female,33,8,0.0,1,1,1,69759.91,0
9509,688,Male,29,1,0.0,2,1,0,154695.57,0
1086,712,Male,36,2,100749.5,3,0,0,70758.37,1
8373,795,Male,29,4,0.0,2,0,0,155711.64,0
7732,820,Female,31,2,94222.53,1,1,0,103570.8,0
7515,623,Female,35,0,130557.24,1,1,1,47880.71,0
6678,472,Female,32,1,159397.75,1,0,1,57323.18,0
4322,508,Male,31,8,72541.48,1,1,0,129803.08,0
6946,418,Male,36,7,90145.04,1,1,1,69157.93,0
7747,850,Female,24,6,0.0,2,1,1,13159.9,0
6772,539,Male,39,6,0.0,2,1,1,86767.48,0
5518,628,Male,39,6,0.0,2,0,0,134441.6,0
5117,757,Male,31,10,39539.39,2,0,0,192519.39,0
6179,591,Female,34,4,150635.3,1,1,1,72274.84,0
4709,554,Male,31,1,0.0,2,0,1,192660.55,0
8121,793,Male,35,2,0.0,2,1,1,79704.12,0
5969,542,Female,29,7,0.0,2,0,1,196651.72,0
6784,728,Female,32,9,127772.1,2,1,1,152643.48,0
3478,537,Male,28,3,157842.07,1,1,0,86911.49,0
8414,600,Female,29,6,74430.1,2,1,1,96051.1,0
3924,653,Female,40,0,0.0,2,1,0,35795.85,0
1748,674,Male,34,2,152797.9,1,1,0,175709.4,1
732,657,Male,31,3,125167.02,1,0,0,98820.39,0
2553,727,Male,71,8,0.0,1,1,1,198446.91,1
5458,635,Male,35,2,113635.16,1,1,0,90883.12,0
5873,598,Female,40,9,0.0,1,1,0,68462.59,1
2662,669,Female,44,8,96418.09,1,0,0,131609.48,1
9398,488,Female,34,2,0.0,2,1,1,181270.84,0
6455,711,Female,29,9,0.0,2,0,1,3234.8,0
3113,620,Male,32,7,0.0,2,1,1,34665.79,0
3303,632,Female,44,3,133793.89,1,1,1,34607.14,1
1344,460,Female,40,6,119507.58,2,1,0,91560.63,1
1690,675,Male,36,3,54098.18,2,0,1,54478.52,0
7180,794,Male,30,8,0.0,2,1,1,24113.91,0
6499,782,Male,32,9,0.0,1,1,1,87566.97,0
3308,813,Female,62,10,64667.95,2,0,1,140454.14,0
1504,741,Male,32,8,0.0,2,1,0,143598.7,0
1806,691,Male,38,7,0.0,2,0,0,81617.4,0
8469,720,Male,71,5,183135.39,2,1,1,197688.5,0
5369,575,Male,52,8,123925.23,1,0,0,111342.66,1
3791,705,Female,38,3,123894.43,1,1,0,21177.1,0
9520,727,Female,18,2,93816.7,2,1,0,126172.11,0
7329,501,Female,34,5,0.0,1,1,0,27380.99,0
5909,691,Female,33,6,0.0,2,1,1,100408.31,0
6825,529,Female,44,1,0.0,2,0,0,14161.3,0
7263,649,Female,46,2,0.0,2,1,1,66602.7,0
1848,518,Female,35,8,141665.63,1,0,1,192776.64,0
4512,666,Male,51,2,148222.65,1,0,0,156953.54,1
2431,540,Male,22,4,0.0,3,1,1,186233.26,1
4660,537,Female,41,0,0.0,2,0,1,175262.49,0
8885,668,Male,45,4,102486.21,2,1,1,158379.25,0
5584,579,Female,31,9,0.0,2,1,0,112395.98,0
142,682,Female,43,5,125851.93,1,1,1,193318.33,0
8760,677,Female,34,10,171671.9,1,1,1,50777.77,0
9211,457,Female,38,6,0.0,2,1,0,173219.09,0
5264,547,Female,44,5,0.0,3,0,0,5459.07,1
3409,598,Female,46,7,131769.04,1,0,0,184980.23,1
1117,731,Female,47,1,115414.19,3,0,0,191734.67,1
1756,618,Male,37,2,168178.21,2,0,1,101273.23,0
497,806,Male,40,5,80613.93,1,1,1,142838.64,0
8031,666,Female,36,6,0.0,2,1,0,176692.87,0
870,535,Female,40,8,0.0,1,1,1,27689.77,0
3357,658,Male,29,5,75395.53,2,0,1,54914.92,0
912,545,Female,32,4,0.0,1,1,0,94739.2,0
721,459,Female,42,6,129634.25,2,1,1,177683.02,1
2805,688,Female,51,5,0.0,1,1,0,91624.11,1
9943,784,Male,23,2,0.0,1,1,1,6847.73,0
886,739,Male,38,0,128366.44,1,1,0,12796.43,0
9592,668,Female,28,1,124511.01,1,0,0,114258.18,0
6587,707,Female,33,2,58036.33,1,1,1,83335.78,0
8100,663,Male,40,6,156218.19,1,0,1,33607.72,0
1520,723,Male,52,5,131694.97,1,0,1,92873.5,1
8689,542,Male,67,10,129431.36,1,0,1,21343.74,0
2746,620,Male,36,8,0.0,2,1,1,145937.99,0
6700,787,Male,39,10,108935.39,1,1,1,101168.3,0
5775,619,Female,49,9,145359.99,1,1,0,38186.85,0
314,744,Male,36,2,153804.44,1,1,1,87213.33,0
1799,850,Female,39,10,0.0,2,1,1,143030.09,0
327,644,Female,46,9,95441.27,1,1,0,108761.05,1
5642,782,Female,41,4,0.0,1,1,0,132943.88,0
4204,573,Male,27,2,128243.03,1,1,1,11631.34,0
3129,631,Male,37,9,131519.49,2,1,1,51752.18,0
6860,727,Male,45,6,114422.85,2,1,1,104678.78,1
9905,645,Male,41,2,93925.3,1,1,0,123982.14,1
3968,649,Male,40,4,95001.33,1,0,1,123202.99,0
5743,635,Male,38,0,103257.14,1,0,0,158344.63,0
6226,762,Male,46,6,123571.77,3,0,1,57014.17,1
1973,693,Male,41,4,0.0,2,0,0,156381.47,0
336,659,Female,32,3,150923.74,2,0,1,174652.51,0
2764,660,Male,38,7,0.0,2,0,1,146585.53,0
7660,458,Male,36,5,0.0,2,1,0,79723.78,0
275,706,Female,37,7,0.0,2,1,1,110899.3,0
2985,840,Male,30,8,136291.71,1,1,0,54113.38,0
5646,526,Female,35,9,118536.4,1,1,0,40980.87,1
5849,665,Male,51,2,0.0,1,0,0,53353.36,0
3477,623,Female,40,7,0.0,1,1,1,25904.12,0
7558,622,Female,36,0,108960.0,2,1,0,111180.3,1
3558,765,Male,41,4,124182.21,1,0,0,100153.43,0
2809,624,Female,32,2,79368.87,2,1,1,145471.94,0
9113,521,Female,29,2,87212.8,1,1,1,994.86,0
4861,663,Female,22,9,0.0,1,1,0,29135.89,1
6586,643,Male,33,7,98630.31,2,1,1,40250.82,0
3416,532,Male,38,9,0.0,2,0,0,30583.95,0
307,629,Male,35,7,156847.29,2,1,0,31824.29,0
3908,655,Male,37,1,0.0,1,1,1,106040.97,0
348,654,Female,32,1,114510.85,1,1,1,126143.23,0
826,680,Female,47,5,0.0,2,1,1,179843.33,0
9501,835,Male,18,2,142872.36,1,1,1,117632.63,0
4482,653,Female,42,1,0.0,2,1,1,5768.32,0
6576,823,Male,37,5,164858.18,1,1,1,173516.71,0
3682,620,Male,44,8,0.0,2,1,1,15627.51,0
5876,704,Male,39,2,111525.02,1,1,0,199484.96,0
8387,699,Male,44,8,158697.61,1,1,0,107181.22,0
2053,850,Male,63,8,169832.57,1,0,0,184107.26,1
71,813,Male,29,6,0.0,1,1,0,33953.87,0
5507,583,Female,40,3,54428.37,1,1,0,109638.78,1
8514,657,Male,29,7,83889.03,1,1,0,153059.62,0
7510,798,Male,36,1,0.0,2,1,1,159044.1,0
8151,500,Male,40,1,99004.24,1,1,1,152845.99,0
1666,611,Female,46,5,0.0,1,1,0,77677.14,1
7861,607,Male,28,1,135936.1,2,1,1,110560.14,0
9159,609,Male,32,7,118520.41,1,0,0,3815.48,0
5688,471,Male,23,6,104592.55,2,1,0,131736.23,0
1445,705,Female,24,7,100169.51,1,1,0,121408.55,0
5227,701,Male,23,3,0.0,2,1,0,38960.59,0
6982,753,Female,50,4,0.0,2,1,1,861.4,0
1695,506,Male,34,7,0.0,2,0,0,115842.1,0
2892,601,Male,44,3,0.0,2,1,0,30607.11,0
1574,678,Male,23,10,115563.71,1,1,1,91633.53,0
3203,719,Male,69,3,0.0,2,1,1,58320.06,0
4405,564,Female,35,9,0.0,2,1,1,105837.38,0
1630,657,Male,57,8,107174.58,1,1,1,126369.55,1
8380,522,Male,32,8,124450.36,2,1,1,165786.1,0
1881,530,Female,36,2,0.0,2,1,1,14721.8,0
8821,662,Female,42,6,105021.28,1,1,0,48242.38,0
6463,749,Male,30,1,0.0,2,0,1,126551.65,0
848,611,Male,51,1,122874.74,1,1,1,149648.45,0
9923,725,Female,29,6,0.0,2,1,1,190776.83,0
6188,835,Female,47,5,108289.28,2,1,1,45859.55,1
5869,562,Male,31,2,112708.2,1,0,1,186370.3,0
2877,657,Male,67,5,119785.47,2,1,1,107534.32,0
186,730,Female,39,1,99010.67,1,1,0,194945.8,0
3779,624,Male,37,0,0.0,2,0,0,112104.55,0
1830,506,Male,37,5,0.0,2,1,1,127543.81,0
8325,605,Male,27,9,0.0,2,1,0,198091.81,0
9241,509,Male,35,8,0.0,2,0,1,67431.28,0
6378,562,Male,37,2,0.0,1,0,1,52525.15,1
1234,771,Female,66,7,143773.07,1,1,1,130827.88,0
6964,576,Female,55,6,44582.07,3,0,1,67539.85,1
3915,686,Male,43,2,134896.03,1,1,1,97847.05,0
446,722,Male,37,2,0.0,1,0,0,120906.83,0
844,640,Male,44,3,137148.68,1,1,0,92381.01,0
8062,663,Female,46,6,95439.4,1,1,1,21038.58,1
5402,828,Male,37,4,0.0,2,1,0,94845.45,0
2440,701,Male,59,7,0.0,2,0,1,27597.59,0
3103,655,Female,47,10,0.0,2,1,0,167778.62,0
8585,754,Female,45,6,0.0,1,1,0,73881.68,1
6791,600,Female,39,7,88477.36,2,1,0,58632.37,0
5650,616,Female,36,10,78249.53,1,1,0,136934.91,0
1294,824,Male,30,0,133634.02,1,1,1,162053.92,0
5079,427,Male,37,5,0.0,2,1,1,121485.1,0
9016,577,Male,31,6,0.0,1,1,1,196395.25,0
5067,587,Female,45,8,134980.74,1,1,1,123309.57,1
3442,850,Female,30,8,154870.28,1,1,1,54191.38,0
8451,575,Female,22,8,105229.34,1,1,1,34397.08,0
7273,660,Male,38,6,109869.32,1,1,1,154641.91,0
6105,617,Female,34,0,131244.65,2,1,0,183229.02,0
776,622,Female,58,7,116922.25,1,1,0,120415.61,1
9716,812,Male,39,5,115730.71,3,1,1,185599.34,1
2153,693,Male,36,8,178111.82,1,0,0,58719.63,1
4920,515,Male,33,2,0.0,2,1,1,136028.97,0
5360,633,Male,35,10,0.0,2,1,0,65675.47,0
9735,700,Female,32,8,110923.15,2,1,1,161845.81,1
5957,612,Male,76,6,96166.88,1,1,1,191393.26,0
8411,619,Female,56,7,0.0,2,1,1,42442.21,0
8432,479,Male,47,6,121797.09,1,0,1,5811.9,1
3183,636,Male,43,6,0.0,2,1,0,43128.95,0
6792,606,Male,34,3,161572.24,1,0,1,191076.22,0
3199,548,Female,46,1,0.0,1,1,1,104469.06,1
9369,718,Female,39,2,0.0,1,1,1,52138.49,0
1289,672,Male,40,10,102980.44,1,1,0,1285.81,1
4581,572,Female,47,2,0.0,2,1,0,36099.7,0
6192,551,Male,43,7,0.0,2,1,0,178393.68,0
8935,660,Female,43,1,0.0,1,0,1,112026.1,1
7149,680,Male,37,4,0.0,2,1,0,61240.87,0
9846,546,Male,25,7,127728.24,2,1,1,105279.74,0
4106,671,Male,34,10,153360.02,1,1,0,140509.86,0
4126,675,Male,32,10,0.0,2,1,0,191545.65,0
8300,733,Male,48,7,85915.52,1,1,1,23860.5,0
3966,815,Male,35,4,0.0,2,0,1,198490.33,0
1879,579,Male,31,9,0.0,1,0,1,139048.0,0
8496,577,Male,43,3,0.0,2,1,1,135008.92,0
9299,824,Male,26,7,146266.0,1,1,0,21903.62,1
6348,699,Male,31,8,125927.51,2,1,0,147661.47,0
3587,721,Male,41,2,0.0,2,1,0,168219.75,0
7372,683,Male,34,9,114609.55,2,0,1,25339.29,0
3865,623,Male,40,6,0.0,2,1,1,66119.07,0
8487,706,Male,34,0,140641.26,2,1,1,77271.91,0
4131,533,Male,47,9,83347.25,1,1,1,137696.25,0
1036,521,Male,30,2,107316.09,1,1,0,64299.82,0
636,660,Female,33,1,0.0,2,0,0,117834.91,0
6153,550,Male,31,5,142200.19,2,1,1,122221.71,0
4134,678,Male,43,5,102338.19,1,1,1,79649.62,0
5338,715,Female,34,9,102277.52,1,0,0,177852.57,1
1083,678,Female,32,5,0.0,2,1,0,90284.47,0
861,548,Female,32,2,172448.77,1,1,0,188083.77,1
903,568,Male,28,5,145105.64,2,1,0,185489.11,0
191,512,Female,36,3,84327.77,2,1,0,17675.36,0
109,479,Male,35,9,92833.89,1,1,0,99449.86,1
4455,684,Female,31,8,0.0,2,1,0,188637.05,0
1942,684,Male,45,6,148071.39,1,1,0,183575.01,0
5856,512,Male,31,6,0.0,2,1,0,168462.26,0
4331,691,Male,21,3,103000.94,1,1,1,104648.58,0
8541,647,Male,47,5,105603.21,2,1,1,157360.9,0
2040,547,Female,38,5,167539.97,1,0,1,159207.34,0
7331,797,Male,59,4,129321.44,1,1,1,93624.55,0
7317,727,Male,59,5,152581.06,1,1,0,71830.1,1
7779,757,Male,46,0,0.0,2,1,0,37460.05,0
4659,410,Female,50,2,102278.79,2,1,0,89822.48,0
7313,687,Female,36,4,97157.96,1,0,1,63185.05,0
2775,850,Male,51,3,109799.55,2,1,1,12457.76,1
4145,666,Female,33,2,147229.65,1,1,1,56410.17,0
2323,583,Male,51,6,125268.03,2,1,0,165082.25,0
762,663,Female,36,6,77253.5,1,0,0,35817.97,1
2617,692,Male,45,6,152296.83,4,0,1,108040.86,1
2411,549,Female,31,9,135020.21,2,1,1,23343.18,0
1094,813,Male,34,0,0.0,2,1,0,43169.15,0
6173,769,Female,73,1,0.0,1,1,1,29792.11,0
7048,563,Male,57,6,0.0,2,1,1,39297.48,0
9272,739,Male,42,2,141642.92,2,1,0,172149.76,0
3135,694,Male,37,10,143835.47,1,0,1,33326.71,0
7787,627,Female,57,9,0.0,2,1,1,107712.42,0
5040,829,Male,50,7,0.0,2,0,1,178458.86,0
3805,668,Male,34,0,0.0,1,0,0,99984.86,0
884,515,Male,65,7,92113.61,1,1,1,142548.33,0
2654,532,Male,44,3,148595.55,1,1,0,74838.64,1
5921,508,Male,54,10,0.0,1,1,1,175749.36,0
6187,704,Male,36,3,114370.41,1,0,1,66810.48,0
8085,794,Male,33,0,0.0,2,0,0,178122.71,0
6742,678,Female,26,1,0.0,2,1,0,45443.68,0
7626,822,Female,46,3,115074.02,2,1,0,26249.86,0
5680,757,Female,30,6,161378.02,1,0,0,71926.28,1
7007,639,Female,38,5,0.0,2,0,0,93716.38,0
9686,793,Male,63,4,103729.79,2,1,1,80272.06,0
2202,850,Male,28,9,97408.03,1,1,1,175853.64,0
6107,703,Male,35,5,140691.08,2,1,0,167810.26,0
6417,790,Male,37,6,0.0,2,1,1,119484.01,0
1262,665,Female,40,1,173432.55,1,0,1,116766.79,0
8379,434,Male,55,6,0.0,1,0,1,73562.05,1
975,750,Female,36,8,112940.07,1,0,1,9855.81,0
5831,635,Female,27,8,127471.56,1,1,1,152916.05,1
4925,817,Male,58,3,114327.59,2,1,1,42831.11,0
941,696,Female,31,8,0.0,2,0,0,191074.11,0
4723,621,Male,42,8,68683.68,1,1,1,74157.71,0
2387,773,Female,39,4,0.0,2,0,1,182081.45,0
9728,616,Female,43,7,95984.21,1,0,1,115262.54,1
5021,638,Female,29,9,103417.74,1,1,1,15336.4,0
4391,718,Male,38,7,0.0,2,1,0,38308.34,0
5148,731,Male,70,3,0.0,2,1,1,141180.66,0
3221,555,Female,24,2,0.0,2,0,1,197866.55,0
3882,488,Female,22,6,0.0,2,1,1,66393.89,0
9438,701,Male,63,3,120916.52,3,0,0,144727.45,1
6624,565,Male,46,7,135369.71,1,0,1,140130.22,0
5918,600,Male,28,2,116623.31,1,0,1,59905.29,0
2789,705,Male,44,0,184552.12,1,1,0,68860.3,1
944,745,Male,36,8,67226.37,1,1,0,130789.6,0
8908,593,Male,32,10,158537.42,1,1,0,166850.57,0
1857,544,Female,29,1,118560.55,1,1,1,164137.36,0
9080,711,Female,81,6,0.0,2,1,1,72276.24,0
4108,709,Female,39,9,124723.92,1,1,0,73641.86,0
8513,674,Female,27,4,111568.01,1,0,1,22026.18,0
3255,507,Female,29,4,89349.47,2,0,0,180626.68,0
2690,648,Male,42,2,98795.61,2,1,0,89123.99,0
9512,663,Male,45,5,83195.12,1,1,1,48682.1,0
6961,745,Female,33,1,0.0,2,1,1,174431.01,0
1319,756,Male,41,2,124439.49,2,0,1,47093.11,0
8882,731,Female,39,2,0.0,2,1,0,136737.13,0
9880,584,Male,42,3,137479.13,1,1,0,25669.1,0
5162,608,Male,31,7,79962.92,2,1,0,60901.72,0
5829,559,Male,32,9,145303.52,1,1,0,103560.98,0
7953,622,Male,33,3,96926.12,2,1,0,48553.77,0
5958,540,Female,40,3,165298.12,1,0,1,199862.75,0
9271,649,Female,47,8,110783.28,1,1,1,71420.16,0
3475,769,Male,31,4,61297.05,2,1,1,7118.02,0
3505,640,Male,45,1,0.0,1,1,1,10908.33,0
4749,570,Male,29,4,122028.65,2,1,1,173792.77,0
2477,512,Female,41,8,145150.28,1,1,0,64869.32,1
9490,624,Male,80,3,0.0,1,1,1,65801.44,0
6615,661,Male,26,8,0.0,2,0,0,196875.87,0
7413,850,Female,31,4,164672.66,1,0,1,61936.1,0
7586,828,Male,42,10,0.0,1,1,1,186071.14,0
5344,787,Male,25,5,0.0,2,1,0,47307.9,0
9863,757,Female,43,5,131433.33,2,1,1,3497.43,1
7111,850,Female,39,6,0.0,2,1,0,103921.43,0
1874,529,Male,35,5,95772.97,1,1,1,112781.5,0
8516,500,Female,34,4,0.0,2,1,0,12833.96,0
5270,588,Male,33,9,150186.22,2,1,1,65611.01,0
5096,669,Female,29,7,146011.4,1,0,0,50249.16,0
2904,715,Female,35,3,0.0,1,1,1,152012.36,0
570,601,Male,44,1,100486.18,2,1,1,62678.53,0
